[OK] Fetching active catalog from Supabase...
[OK] 1207 active rows.
[1/1207] Illini Summer Academies... running, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[290/1207] Explore Cyber Threats and Security... running, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[291/1207] Exploring Frontiers... running, 0 search(es) [SILENT: no search invoked], $0.0013 [changed]
[292/1207] Extended Studies... running, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[293/1207] FAA Summer Intensive... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[294/1207] Fab Lab: 3D Printing... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[295/1207] Fall STEM Camp... unknown, 0 search(es) [SILENT: no search invoked], $0.0009 [changed]
[296/1207] Fashion Technology Summer Program... running, 0 search(es) [SILENT: no search invoked], $0.0009 [changed]
[297/1207] FAU... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[298/1207] Fellows Scholarship Competition... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[299/1207] Fellowship Program... running, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[300/1207] Filmmakers Workshop... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[301/1207] FinDS Summer Program... running, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[302/1207] Fire Protection Discovery Program... running, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[303/1207] FIU... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[304/1207] FIU... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[305/1207] Florida International University... not_running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[306/1207] Food Science Camp... running, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[307/1207] Fordham University... running, 0 search(es) [SILENT: no search invoked], $0.0013 [changed]
[308/1207] Fordham University... running, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[309/1207] Fordham University... running, 0 search(es) [SILENT: no search invoked], $0.0015 [changed]
[310/1207] Foreign Policy Academy... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[311/1207] Forensic Science Academy... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[312/1207] Forensic Science Camp... running, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[313/1207] Forensic Science Camp... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[314/1207] Forensics Exploration... running, 0 search(es) [SILENT: no search invoked], $0.0016 [changed]
[315/1207] Forensics Investigators... running, 1 search(es), $0.0150 [changed]
[316/1207] Foundations of Psychological Research... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[317/1207] FPE Summer Camp... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[318/1207] FtRi Research... running, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[319/1207] Future Generations of Women Leaders... not_running, 0 search(es) [SILENT: no search invoked], $0.0009 [changed]
[320/1207] Future Leaders Program... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[321/1207] Future Leaders Program... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[322/1207] Future Scholars... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[323/1207] Gear Up... running, 2 search(es), $0.0290 [changed]
[324/1207] GEMS... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[325/1207] GenCyber Summer Camp... not_running, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[326/1207] GENIUS Olympiad... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[327/1207] Genomics Research... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[328/1207] GEnYuS... running, 0 search(es) [SILENT: no search invoked], $0.0013 [changed]
[329/1207] Georgetown University... running, 0 search(es) [SILENT: no search invoked], $0.0013 [changed]
[330/1207] Georgia Institute of Technology... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[331/1207] Georgia State... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[332/1207] Georgia Tech... [ERROR] HTTP 503
[333/1207] Georgia Tech... running, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[334/1207] Gerard K. O’Neill Space Settlement Contest... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[335/1207] Girls in Math... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[336/1207] Girls Talk Math Camp... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[337/1207] GIS Challenge... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[338/1207] Global Youth Entrepreneurship Challenge... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[339/1207] Global Youth Program... running, 1 search(es), $0.0155 [changed]
[340/1207] Google CS Summer Institute... not_running, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[341/1207] GSTEM... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[342/1207] GSTEM Online Data Science... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[343/1207] GSU... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[344/1207] GU... running, 0 search(es) [SILENT: no search invoked], $0.0013 [changed]
[345/1207] GUIC Summer Camp... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[346/1207] HAAS Business... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[347/1207] Harper Research Cures Cancer Corps... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[348/1207] Harvard... running, 1 search(es), $0.0153 [changed]
[349/1207] Harvard University... running, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[350/1207] Harvard University... running, 0 search(es) [SILENT: no search invoked], $0.0014 [changed]
[351/1207] HAS Astronomy... not_running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[352/1207] Health & Biomedical Camp... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[353/1207] Health and Society Institute... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[354/1207] Health Professions Program... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[355/1207] Healthcare Exploration... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[356/1207] HealthLink... running, 0 search(es) [SILENT: no search invoked], $0.0013 [changed]
[357/1207] High School Camp... running, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[358/1207] High School Competitions... running, 0 search(es) [SILENT: no search invoked], $0.0013 [changed]
[359/1207] High School Conservatory... running, 1 search(es), $0.0150 [changed]
[360/1207] High School Honors... running, 0 search(es) [SILENT: no search invoked], $0.0014 [changed]
[361/1207] High School Honors... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[362/1207] High School Internship Program... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[363/1207] High School Internship Program... running, 0 search(es) [SILENT: no search invoked], $0.0013 [changed]
[364/1207] High School Internships... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[365/1207] High School Law Institute... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[366/1207] High School Programming... running, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[367/1207] High School Research Internship... running, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[368/1207] High School Research Program... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[369/1207] High School Scholars... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[370/1207] High School Scholars... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[371/1207] High School Space Exploration Camp... not_running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[372/1207] High School Summer Internship Program... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[373/1207] High School Summer Program... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[374/1207] High School Summer Program... running, 0 search(es) [SILENT: no search invoked], $0.0014 [changed]
[375/1207] HighTech Bound... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[376/1207] Hinton Scholars... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[377/1207] Honors Summer... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[378/1207] Horticultural Science Summer Institute... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[379/1207] Host-Microbe Mutualism... running, 3 search(es), $0.0434 [changed]
[380/1207] How Cells Ensure Accurate Chromosome Segregation Internship... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[381/1207] How To Think Like an Attorney... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[382/1207] Howling With Cals... running, 0 search(es) [SILENT: no search invoked], $0.0013 [changed]
[383/1207] HPEC Economics Challenge... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[384/1207] HPREP... running, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[385/1207] HSHP... not_running, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[386/1207] HSRA Summer Program... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[387/1207] Human Exploration Rover Challenge... running, 0 search(es) [SILENT: no search invoked], $0.0014 [changed]
[388/1207] Human Resources Intern... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[389/1207] Pre-College... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[390/1207] IAS Computes... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[391/1207] ICaRE Summer Science... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[392/1207] ICS Summer Academy... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[393/1207] IFAL... running, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[394/1207] Ignite Your Passion for International Law... running, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[395/1207] Imagine Cup... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[396/1207] Information Technology Intern... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[397/1207] Innovation in Music Academy... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[398/1207] Institute of Biomedical Research... running, 0 search(es) [SILENT: no search invoked], $0.0009 [changed]
[399/1207] Intensive Law Program... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[400/1207] International Academic Competitions... running, 0 search(es) [SILENT: no search invoked], $0.0013 [changed]
[401/1207] International Biology Olympiad... running, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[402/1207] International History Olympiad... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[403/1207] International Linguistics Olympiad... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[404/1207] International Mathematical Olympiad... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[405/1207] International Physics Olympiad... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[406/1207] International Relations Academy... running, 0 search(es) [SILENT: no search invoked], $0.0013 [changed]
[407/1207] International Space Settlement Design Competition... running, 0 search(es) [SILENT: no search invoked], $0.0013 [changed]
[408/1207] Internship Program... running, 0 search(es) [SILENT: no search invoked], $0.0013 [changed]
[409/1207] Internship Program... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[410/1207] Internship Program... running, 0 search(es) [SILENT: no search invoked], $0.0013 [changed]
[411/1207] Introduction to Logic... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[412/1207] Introduction to Programming Python... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[413/1207] Investigation and Training in Careers in Health... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[414/1207] ISEF Competition... running, 0 search(es) [SILENT: no search invoked], $0.0013 [changed]
[415/1207] ISYM Programs... running, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[416/1207] Jim Baen Memorial Short Story Award... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[417/1207] Jindal School of Management... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[418/1207] Johns Hopkins University... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[419/1207] Journalism Institute... running, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[420/1207] Joy of Coding... running, 0 search(es) [SILENT: no search invoked], $0.0013 [changed]
[421/1207] JSEP... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[422/1207] JumpstART... running, 0 search(es) [SILENT: no search invoked], $0.0013 [changed]
[423/1207] JumpStart Camp... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[424/1207] Junior Business Badgers... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[425/1207] Junior Science & Humanities... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[426/1207] Junior Science & Humanities Competition... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[427/1207] Keller BLOOM Program... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[428/1207] Kent State University... running, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[429/1207] Kentucky Forest Leadership Program... running, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[430/1207] Kimberly Querrey Research... not_running, 0 search(es) [SILENT: no search invoked], $0.0009 [changed]
[431/1207] KU Cancer Center... running, 0 search(es) [SILENT: no search invoked], $0.0014 [changed]
[432/1207] Laboratory for Laser Energetics... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[433/1207] Laboratory Learning Program... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[434/1207] Ladders for Leaders... running, 0 search(es) [SILENT: no search invoked], $0.0013 [changed]
[435/1207] Lamont-Doherty Earth Observatory... running, 1 search(es), $0.0153 [changed]
[436/1207] Language Summer Academy... running, 0 search(es) [SILENT: no search invoked], $0.0013 [changed]
[437/1207] Law Academy... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[438/1207] Law Summer School... not_running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[439/1207] Leadership Institute... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[440/1207] Leadership Project... running, 1 search(es), $0.0151 [changed]
[441/1207] Leadership Scholars... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[442/1207] Leadership Seminars... running, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[443/1207] Learn How Entrepreneurs Identify and Solve Problems... running, 1 search(es), $0.0150 [changed]
[444/1207] Learn How Investors Create Wealth... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[445/1207] Learn What It Takes To Lead... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[446/1207] Life Sciences Research... running, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[447/1207] Lincoln Laboratory... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[448/1207] Livestock Science Camp... not_running, 0 search(es) [SILENT: no search invoked], $0.0009 [changed]
[449/1207] Los Angeles Institute... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[450/1207] Louisville High School... not_running, 0 search(es) [SILENT: no search invoked], $0.0009 [changed]
[451/1207] LSU... running, 0 search(es) [SILENT: no search invoked], $0.0009 [changed]
[452/1207] LUC... running, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[453/1207] Machine Learning Program... running, 0 search(es) [SILENT: no search invoked], $0.0014 [changed]
[454/1207] Machine Learning Program... running, 0 search(es) [SILENT: no search invoked], $0.0013 [changed]
[455/1207] Management & Technology Summer Institute... running, 0 search(es) [SILENT: no search invoked], $0.0014 [changed]
[456/1207] Marching Band Camp... [ERROR] HTTP 503
[457/1207] Marine Lab Pre-College... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[458/1207] Marine Science Research... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[459/1207] Mark Cuban Foundation AI Bootcamp... running, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[460/1207] Marketing & Personal Branding Academy... running, 0 search(es) [SILENT: no search invoked], $0.0014 [changed]
[461/1207] Math Academy... not_running, 2 search(es), $0.0290 [changed]
[462/1207] Math and Science Scholars... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[463/1207] Math Camp... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[464/1207] Math Contest... not_running, 0 search(es) [SILENT: no search invoked], $0.0009 [changed]
[465/1207] Math Meet... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[466/1207] Math Minutes Video Contest... running, 2 search(es), $0.0292 [changed]
[467/1207] Math Modeling Challenge... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[468/1207] Math Program... running, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[469/1207] Math Tournament... running, 0 search(es) [SILENT: no search invoked], $0.0013 [changed]
[470/1207] Mathematics Camp... running, 0 search(es) [SILENT: no search invoked], $0.0014 [changed]
[471/1207] Mathematics Competition... running, 0 search(es) [SILENT: no search invoked], $0.0015 [changed]
[472/1207] Mathematics Program... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[473/1207] Mathematics Program... running, 0 search(es) [SILENT: no search invoked], $0.0013 [changed]
[474/1207] Mathematics Project... running, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[475/1207] Mayo Clinic... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[476/1207] Mayo Clinic... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[477/1207] McIntire Business Program... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[478/1207] Med-Start Health Program... running, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[479/1207] MedAcademy... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[480/1207] Media & Sports Academy... running, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[481/1207] Medical and Health Programs... running, 1 search(es), $0.0151 [changed]
[482/1207] Medical Program... unknown, 0 search(es) [SILENT: no search invoked], $0.0009 [changed]
[483/1207] Medical Student Research Internship Program... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[484/1207] Medical Youth Science Program... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[485/1207] Medicine Art and Anatomy... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[486/1207] Medicine Program... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[487/1207] Medicine Summer Research Program... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[488/1207] MEEP... running, 0 search(es) [SILENT: no search invoked], $0.0014 [changed]
[489/1207] Mentor Assistance Program for High School Students... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[490/1207] Mercer University... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[491/1207] MERITS Program... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[492/1207] Miami SAO... running, 0 search(es) [SILENT: no search invoked], $0.0009 [changed]
[493/1207] Miami SAO... running, 0 search(es) [SILENT: no search invoked], $0.0009 [changed]
[494/1207] Michigan State University... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[495/1207] Microbiology Camp... running, 3 search(es), $0.0430 [changed]
[496/1207] Missouri University of Science and Technology... running, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[497/1207] MIT Museum... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[498/1207] MITE Summer Camp... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[499/1207] MITES Program... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[500/1207] MOP Mathematical Olympiad Summer Program... running, 0 search(es) [SILENT: no search invoked], $0.0009 [changed]
[501/1207] Morse Summer Music Academy... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[502/1207] MSU... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[503/1207] Music Pre-College... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[504/1207] Music Technology & Production Camp... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[505/1207] NASEP... running, 0 search(es) [SILENT: no search invoked], $0.0015 [changed]
[506/1207] Nash U... running, 0 search(es) [SILENT: no search invoked], $0.0013 [changed]
[507/1207] National Academic Championship... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[508/1207] National Arts Competition... running, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[509/1207] National Academic League... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[510/1207] National Chemistry Olympiad... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[511/1207] National Economics Challenge... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[512/1207] National Economics Challenge... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[513/1207] National French Contest... running, 0 search(es) [SILENT: no search invoked], $0.0013 [changed]
[514/1207] National High School Game Academy... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[515/1207] National High School Institute... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[516/1207] National Mock Trial Championship... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[517/1207] National Science Bowl... running, 2 search(es), $0.0292 [changed]
[518/1207] National Security & Intelligence Academy... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[519/1207] National Security Language Initiative... running, 0 search(es) [SILENT: no search invoked], $0.0013 [changed]
[520/1207] National Summer Transportation Institute... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[521/1207] National Youth Science Camp... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[522/1207] Native Education Forum... not_running, 1 search(es), $0.0149 [changed]
[523/1207] NC State... running, 0 search(es) [SILENT: no search invoked], $0.0013 [changed]
[524/1207] NC State University... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[525/1207] NC State University... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[526/1207] NC Youth Institute... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[527/1207] Network For Teaching Entrepreneurship... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[528/1207] Neubauer Family Summer Scholars... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[529/1207] Neubauer Phoenix Scholars... running, 0 search(es) [SILENT: no search invoked], $0.0013 [changed]
[530/1207] Neuroscape Research Internship... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[531/1207] Neuroscience Immersion... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[532/1207] Neuroscience Internship... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[533/1207] Neuroscience Journal Club... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[534/1207] Neuroscience Program... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[535/1207] Neuroscience Research Competition... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[536/1207] NeuroScience Summer Program... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[537/1207] New Jersey Governor’s School in the Sciences... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[538/1207] New Jersey Program in Engineering & Technology... running, 0 search(es) [SILENT: no search invoked], $0.0012 [changed]
[539/1207] New York Bioforce... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[540/1207] NextGen High School Internship... running, 0 search(es) [SILENT: no search invoked], $0.0011 [changed]
[541/1207] NJIT... running, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
[542/1207] NM GCM Grosvenor Program... running, 0 search(es) [SILENT: no search invoked], $0.0010 [changed]
